state,active cases
Andaman & Nicobar,5
Andhra Pradesh,6
Arunachal Pradesh,7
Assam,3
Bihar,4
Chandigarh,5
Chhattisgarh,0
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,0
Goa,0
Gujarat,12
Haryana,3
Himachal Pradesh,2
Jammu & Kashmir,4
Jharkhand,5
Karnataka,3
Kerala,1
Ladakh,2
Madhya Pradesh,0
Maharashtra,4
Manipur,2
Meghalaya,0
Mizoram,3
Nagaland,0
Odisha,0
Puducherry,0
Punjab,0
Rajasthan,9
Sikkim,0
Tamil Nadu,7
Telangana,5
Tripura,0
Uttarakhand,0
Uttar Pradesh,0
West Bengal,0
