state,active cases
Andaman & Nicobar,12
Andhra Pradesh,7
Arunachal Pradesh,8
Assam,4
Bihar,5
Chandigarh,6
Chhattisgarh,0
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,34
Goa,23
Gujarat,45
Haryana,11
Himachal Pradesh,23
Jammu & Kashmir,0
Jharkhand,22
Karnataka,5
Kerala,7
Ladakh,9
Madhya Pradesh,2
Maharashtra,1
Manipur,4
Meghalaya,5
Mizoram,6
Nagaland,7
Odisha,8
Puducherry,0
Punjab,0
Rajasthan,0
Sikkim,9
Tamil Nadu,9
Telangana,9
Tripura,0
Uttarakhand,0
Uttar Pradesh,0
West Bengal,12
