state,active cases
Andaman & Nicobar,5
Andhra Pradesh,6
Arunachal Pradesh,78
Assam,89
Bihar,33
Chandigarh,223
Chhattisgarh,12
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,34
Goa,0
Gujarat,23
Haryana,23
Himachal Pradesh,23
Jammu & Kashmir,0
Jharkhand,65
Karnataka,45
Kerala,12
Ladakh,2
Madhya Pradesh,3
Maharashtra,42
Manipur,0
Meghalaya,12
Mizoram,0
Nagaland,0
Odisha,0
Puducherry,24
Punjab,0
Rajasthan,56
Sikkim,7
Tamil Nadu,14
Telangana,0
Tripura,23
Uttarakhand,0
Uttar Pradesh,0
West Bengal,99
