state,active cases
Andaman & Nicobar,0
Andhra Pradesh,2
Arunachal Pradesh,0
Assam,3
Bihar,0
Chandigarh,0
Chhattisgarh,4
Dadra and Nagar Haveli and Daman and Diu,1
Delhi,0
Goa,23
Gujarat,0
Haryana,45
Himachal Pradesh,0
Jammu & Kashmir,0
Jharkhand,34
Karnataka,0
Kerala,23
Ladakh,0
Madhya Pradesh,12
Maharashtra,0
Manipur,0
Meghalaya,8
Mizoram,6
Nagaland,7
Odisha,9
Puducherry,9
Punjab,56
Rajasthan,5
Sikkim,34
Tamil Nadu,0
Telangana,23
Tripura,0
Uttarakhand,34
Uttar Pradesh,12
West Bengal,11
