state,active cases
Andaman & Nicobar,24
Andhra Pradesh,4
Arunachal Pradesh,3
Assam,21
Bihar,216
Chandigarh,3
Chhattisgarh,56
Dadra and Nagar Haveli and Daman and Diu,3
Delhi,2
Goa,321
Gujarat,43
Haryana,54
Himachal Pradesh,0
Jammu & Kashmir,211
Jharkhand,1
Karnataka,23
Kerala,12
Ladakh,0
Madhya Pradesh,32
Maharashtra,34
Manipur,34
Meghalaya,5
Mizoram,0
Nagaland,67
Odisha,5
Puducherry,0
Punjab,56
Rajasthan,4
Sikkim,3
Tamil Nadu,32
Telangana,4
Tripura,2
Uttarakhand,3
Uttar Pradesh,34
West Bengal,0
