state,active cases
Andaman & Nicobar,342
Andhra Pradesh,123
Arunachal Pradesh,543
Assam,123
Bihar,23
Chandigarh,44
Chhattisgarh,23
Dadra and Nagar Haveli and Daman and Diu,545
Delhi,0
Goa,323
Gujarat,0
Haryana,123
Himachal Pradesh,435
Jammu & Kashmir,0
Jharkhand,342
Karnataka,53
Kerala,324
Ladakh,76
Madhya Pradesh,53
Maharashtra,4
Manipur,234
Meghalaya,0
Mizoram,4
Nagaland,53
Odisha,5
Puducherry,43
Punjab,535
Rajasthan,4
Sikkim,532
Tamil Nadu,0
Telangana,5
Tripura,35
Uttarakhand,6
Uttar Pradesh,16
West Bengal,36
