state,active cases
Andaman & Nicobar,18
Andhra Pradesh,3
Arunachal Pradesh,4
Assam,43
Bihar,4
Chandigarh,56
Chhattisgarh,0
Dadra and Nagar Haveli and Daman and Diu,28
Delhi,72
Goa,0
Gujarat,5
Haryana,34
Himachal Pradesh,2
Jammu & Kashmir,5
Jharkhand,23
Karnataka,4
Kerala,5
Ladakh,5
Madhya Pradesh,35
Maharashtra,2
Manipur,35
Meghalaya,3
Mizoram,5
Nagaland,0
Odisha,0
Puducherry,0
Punjab,0
Rajasthan,67
Sikkim,5
Tamil Nadu,35
Telangana,0
Tripura,4
Uttarakhand,3
Uttar Pradesh,4
West Bengal,0
