state,active cases
Andaman & Nicobar,0
Andhra Pradesh,23
Arunachal Pradesh,4
Assam,2
Bihar,23
Chandigarh,23
Chhattisgarh,4
Dadra and Nagar Haveli and Daman and Diu,2
Delhi,5
Goa,5
Gujarat,65
Haryana,3
Himachal Pradesh,4
Jammu & Kashmir,23
Jharkhand,5
Karnataka,23
Kerala,34
Ladakh,2
Madhya Pradesh,123
Maharashtra,0
Manipur,54
Meghalaya,6
Mizoram,0
Nagaland,0
Odisha,88
Puducherry,53
Punjab,45
Rajasthan,123
Sikkim,4
Tamil Nadu,3
Telangana,4
Tripura,235
Uttarakhand,5
Uttar Pradesh,0
West Bengal,73
