state,active cases
Andaman & Nicobar,78
Andhra Pradesh,45
Arunachal Pradesh,0
Assam,423
Bihar,0
Chandigarh,5
Chhattisgarh,235
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,63
Goa,62
Gujarat,3
Haryana,3
Himachal Pradesh,4
Jammu & Kashmir,0
Jharkhand,65
Karnataka,46
Kerala,0
Ladakh,325
Madhya Pradesh,5
Maharashtra,0
Manipur,6
Meghalaya,0
Mizoram,63
Nagaland,245
Odisha,23
Puducherry,5
Punjab,2
Rajasthan,5
Sikkim,35
Tamil Nadu,3
Telangana,25
Tripura,235
Uttarakhand,23
Uttar Pradesh,5
West Bengal,5
