Disease,Description,Communicable,Commvia,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Link
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,0,,"itching, skin rash, stomach pain, burning micturition, spotting urination",stop irritation,consult nearest hospital,stop taking drug,follow up,https://medlineplus.gov/drugreactions.html
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,0,,"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,https://www.who.int/news-room/fact-sheets/detail/malaria
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",0,,"continuous sneezing, shivering, chills, watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,"https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497#:~:text=Allergies%20occur%20when%20your%20immune,produces%20substances%20known%20as%20antibodies."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",0,,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,"https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284#:~:text=the%20body%20makes.-,Hypothyroidism%20happens%20when%20the%20thyroid%20gland%20doesn't%20make%20enough,autoimmune%20disease%20called%20Hashimoto's%20disease."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",0,," skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840#:~:text=Psoriasis%20is%20a%20skin%20disease,make%20it%20hard%20to%20concentrate."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",1,"GERD caused by pylori is contagious person-to-person through either fecal/oral exposure (such as eating contaminated food or drinking contaminated water, or swimming in contaminated bodies of water) or oral/oral exposure (such as kissing or sharing toothbrushes).","ulcers on tongue , stomach pain, acidity, vomitting, cough, chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940#:~:text=Gastroesophageal%20reflux%20disease%20(GERD)%20occurs,reflux%20from%20time%20to%20time."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",0,," itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,https://www.healthline.com/health/cholestasis
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,1,"Hepatitis A can be spread from close, personal contact with an infected person, such as through certain types of sexual contact (like oral-anal sex), caring for someone who is ill, or using drugs with others. Hepatitis A is very contagious, and people can even spread the virus before they feel sick."," joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,https://www.who.int/news-room/fact-sheets/detail/hepatitis-a
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",0,,"itching,skin rash,nodal  skin eruptions,dischromic patches",acetaminophen,consult nearest hospital,follow up,salt baths,https://www.healthline.com/health/fungal-infection
(vertigo) Paroymsal Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo â€” the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,0,,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,https://www.webmd.com/brain/vertigo-symptoms-causes-treatment
