state,active cases
Andaman & Nicobar,18
Andhra Pradesh,9
Arunachal Pradesh,78
Assam,1
Bihar,13
Chandigarh,32
Chhattisgarh,0
Dadra and Nagar Haveli and Daman and Diu,43
Delhi,2
Goa,23
Gujarat,0
Haryana,12
Himachal Pradesh,0
Jammu & Kashmir,1
Jharkhand,2
Karnataka,2
Kerala,2
Ladakh,34
Madhya Pradesh,5
Maharashtra,4
Manipur,3
Meghalaya,23
Mizoram,3
Nagaland,1
Odisha,23
Puducherry,0
Punjab,23
Rajasthan,213
Sikkim,0
Tamil Nadu,45
Telangana,0
Tripura,31
Uttarakhand,34
Uttar Pradesh,22
West Bengal,23
